feature_name,max_value,min_value
id_invicrot1_thk_thm_eth_hn_leftcit168,0.72843313,0.46137226
id_invicrot1_thk_right_transverse_temporaldktcortex,1.3450966,0.3830167
id_invicrot1_area_left_lateral_ventricledktregions,14941.911,1936.3645
id_invicrot1_vol_referenceregion_leftdeep_cit168,276.3116,15.820313
id_invicrot1_area_left_transverse_temporaldktregions,2217.118,127.622215
id_invicrot1_area_left_superior_temporaldktcortex,16624.46,5025.7886
id_invicrot1_thk_mtg_rn_rightdeep_cit168,2.4078226,0.5659818
id_invicrot1_area_right_postcentraldktregions,13679.625,5011.812
id_invicrot1_vol_right_perirhinalmtl,4261.007,26.250002
id_invicrot1_thk_mtg_sn_snr_rightcit168,1.0891734,0.6077355
id_invicrot1_vol_right_lateral_orbitofrontaldktcortex,12562.024,2432.2375
id_invicrot1_vol_left_rostral_middle_frontaldktcortex,18215.129,3513.6
id_invicrot1_vol_right_precuneusdktcortex,17296.033,3014.4001
id_invicrot1_thk_corticospinal_rwmtracts_right,2.08996,1.306524
id_invicrot1_vol_bn_str_ca_rightdeep_cit168,7341.0396,565.00146
id_invicrot1_thk_temporal_ldktlobes,5.846174,2.4319916
id_invicrot1_area_right_posterior_cingulatedktregions,4171.0425,1539.665
id_invicrot1_area_mtg_rn_rightdeep_cit168,2637.3906,36.715214
id_invicrot1_area_mtg_sn_snr_leftsnseg,444.6858,141.49463
id_invicrot1_area_cerebellar_vermal_lobules_vi_viidktregions,1938.7648,8.019253
id_invicrot1_area_bn_gp_gpe_leftdeep_cit168,1201.445,142.05418
id_invicrot1_vol_left_alecmtl,1608.0016,3.071007
id_invicrot1_thk_bn_gp_gpe_rightcit168,1.7405239,0.7742935
id_invicrot1_vol_left_pars_triangularisdktregions,8864.4,1633.8063
id_invicrot1_vol_right_superior_temporaldktregions,24951.035,6126.0312
id_invicrot1_thk_referenceregion_rightcit168,0.78944325,0.4366089
id_invicrot1_vol_left_caudal_middle_frontaldktcortex,10701.988,1116.0
id_invicrot1_area_bn_gp_gpi_rightdeep_cit168,519.61206,54.05817
id_invicrot1_thk_right_alecmtl,1.6183438,0.40691593
id_invicrot1_thk_right_lateral_orbitofrontaldktcortex,1.6493684,0.64161915
id_invicrot1_vol_brainstem_ldktlobes,18393.986,3367.0173
id_invicrot1_thk_left_precentraldktcortex,1.2736948,0.50514334
id_invicrot1_area_left_parahippocampalmtl,2619.3625,97.93764
id_invicrot1_vol_right_postcentraldktcortex,13191.046,2381.4844
id_invicrot1_thk_nbm_left_midbf,1.3886366,0.4328402
id_invicrot1_vol_wmtissues,847375.56,294114.5
id_invicrot1_vol_uncinate_rwmtracts_right,4969.991,1512.4219
id_invicrot1_area_right_precentraldktregions,14774.079,6636.3477
id_invicrot1_area_right_supramarginaldktcortex,11942.638,3368.3352
id_invicrot1_area_left_entorhinaldktcortex,2735.7378,467.48233
id_invicrot1_thk_left_posterior_cingulatedktcortex,1.6203392,0.6415307
id_invicrot1_vol_left_medial_orbitofrontaldktcortex,7181.9614,844.0
id_invicrot1_thk_right_superior_temporaldktregions,2.0089602,1.0087973
id_invicrot1_thk_right_cerebellum_white_matterdktregions,4.1574864,1.4367411
id_invicrot1_area_left_caudal_anterior_cingulatedktcortex,4454.131,1094.1582
id_invicrot1_vol_left_cuneusdktcortex,7566.9766,828.00006
id_invicrot1_thk_occipital_rdktlobes,4.734153,2.3928902
id_invicrot1_vol_right_fusiformdktcortex,16648.906,3506.2502
id_invicrot1_vol_right_precuneusdktregions,18210.008,5275.4087
id_invicrot1_thk_right_lateral_occipitaldktcortex,1.5784332,0.5584314
id_invicrot1_vol_left_pars_orbitalisdktregions,4536.9956,562.00134
id_invicrot1_thk_left_amygdaladktregions,1.7154782,0.35050896
id_invicrot1_area_left_cuneusdktcortex,7150.311,1667.0964
id_invicrot1_thk_ch13_leftbf,1.250532,0.3241073
id_invicrot1_vol_referenceregion_rightcit168,261.00015,66.00024
